LAMMPS (23 Jun 2022 - Update 4)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 5 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.002 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:471)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:471)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:471)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 8 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 8.384 | 9.056 | 9.533 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   1500          -243821.04      0             -231412.26      9435.5064      1359662.5    
       500   770.19546     -237539.17      0             -231167.72      35533.094      1359664.3    
      1000   819.59002     -237584.31      0             -230804.23      35919.007      1359669.8    
      1500   835.73602     -237299.77      0             -230386.13      37318.13       1359679.1    
      2000   868.17437     -237110.24      0             -229928.25      38531.765      1359692.3    
      2500   897.11907     -236859.22      0             -229437.79      39725.304      1359709.6    
      3000   935.09499     -236654.38      0             -228918.79      40908.861      1359731      
      3500   965.71461     -236364.49      0             -228375.6       42584.414      1359756.7    
      4000   1005.2393     -236126.65      0             -227810.78      44012.397      1359786.8    
      4500   1042.634      -235853.02      0             -227227.81      45339.41       1359821.5    
      5000   1079.033      -235556.19      0             -226629.86      46850.586      1359861      
      5500   1119.5801     -235282.27      0             -226020.52      48301.632      1359905.4    
      6000   1156.3716     -234969.72      0             -225403.62      50012.037      1359954.9    
      6500   1198.5945     -234698.35      0             -224782.96      51731.567      1360009.6    
      7000   1240.5977     -234426.8       0             -224163.93      53138.512      1360069.7    
      7500   1281.3293     -234151.19      0             -223551.37      54560.819      1360135.3    
      8000   1321.5193     -233883.88      0             -222951.58      55786.17       1360206.6    
      8500   1353.6761     -233569.29      0             -222370.98      57454.281      1360283.8    
      9000   1387.2711     -233293.54      0             -221817.32      58795.035      1360366.9    
      9500   1424.3576     -233081.55      0             -221298.52      59779.395      1360456.2    
     10000   1454.1316     -232855.4       0             -220826.07      61019.44       1360551.7    
     10500   1487.5367     -232715.97      0             -220410.29      61878.077      1360653.5    
     11000   1501.4383     -232487.67      0             -220066.99      62870.591      1360761.8    
     11500   1518.907      -232378.16      0             -219812.97      63445.1        1360876.6    
     12000   1531.8865     -232341.84      0             -219669.27      63774.843      1360997.8    
     12500   1531.4613     -232324.97      0             -219655.92      63617.914      1361125.7    
     13000   1523.6051     -232377.4       0             -219773.35      63423.887      1361260      
     13500   1504.907      -232427.66      0             -219978.28      62921.055      1361400.7    
     14000   1494.7834     -232567.44      0             -220201.81      62138.316      1361547.8    
     14500   1481.3631     -232642.13      0             -220387.52      61735.808      1361701.1    
     15000   1481.3398     -232754.14      0             -220499.72      61100.081      1361860.6    
     15500   1477.3913     -232741.24      0             -220519.49      61143.282      1362026      
     16000   1475.9077     -232652.35      0             -220442.87      61355.308      1362197.4    
