LAMMPS (2 Aug 2023)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  2 by 4 by 4 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.023 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:474)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:474)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:474)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 8 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 4.131 | 4.131 | 4.131 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   1900          -243821.04      0             -228103.25      12034.982      1359662.5    
       500   987.36033     -235962.5       0             -227794.54      44033.727      1359664.3    
      1000   1044.4349     -235973.22      0             -227333.12      44734.063      1359669.7    
      1500   1063.102      -235597.43      0             -226802.9       46693.284      1359678.9    
      2000   1102.5066     -235342.47      0             -226221.97      48105.056      1359691.9    
      2500   1147.5686     -235093.18      0             -225599.89      49558.309      1359708.8    
      3000   1188.8673     -234777.01      0             -224942.09      51330.976      1359729.9    
      3500   1235.766      -234476.33      0             -224253.43      52851.762      1359755.2    
      4000   1276.0228     -234093.76      0             -223537.83      54715.869      1359784.9    
      4500   1324.8646     -233759.76      0             -222799.79      56726.93       1359819.1    
      5000   1373.473      -233405.15      0             -222043.07      58463.403      1359858      
      5500   1426.339      -233072.03      0             -221272.61      60256.656      1359901.7    
      6000   1475.4494     -232699.06      0             -220493.37      62175.809      1359950.3    
      6500   1525.1203     -232327.26      0             -219710.67      64057.728      1360004.1    
      7000   1575.2348     -231962.15      0             -218930.98      66067.155      1360063.2    
      7500   1627.6277     -231625.3       0             -218160.72      67733.501      1360127.7    
      8000   1678.3746     -231292.76      0             -217408.38      69573.079      1360197.8    
      8500   1726.3556     -230963.76      0             -216682.45      71277.284      1360273.7    
      9000   1772.7878     -230657.55      0             -215992.13      72772.413      1360355.4    
      9500   1814.16       -230357.46      0             -215349.78      74331.697      1360443.1    
     10000   1852.2581     -230091.42      0             -214768.58      75643.606      1360537      
     10500   1880.6575     -229821.04      0             -214263.26      76735.137      1360637      
     11000   1903.5178     -229601.67      0             -213854.78      77998.048      1360743.3    
     11500   1931.7664     -229544.78      0             -213564.2       78366.426      1360856      
     12000   1939.4777     -229464.87      0             -213420.5       78795.801      1360975.1    
     12500   1942.8281     -229518.47      0             -213446.38      78501.254      1361100.5    
     13000   1928.3319     -229581.61      0             -213629.45      78023.898      1361232.2    
     13500   1910.0289     -229702.58      0             -213901.82      77347.807      1361370.3    
     14000   1889.8043     -229809.89      0             -214176.44      76647.514      1361514.5    
     14500   1874.4042     -229895.85      0             -214389.8       76203.895      1361664.7    
     15000   1880.6359     -230060.93      0             -214503.33      75390.817      1361821      
     15500   1869.5759     -229962.38      0             -214496.28      75628.107      1361983.1    
     16000   1882.7182     -229947.13      0             -214372.31      75965.124      1362151.1    
     16500   1889.1241     -229798.36      0             -214170.54      76501.176      1362324.8    
     17000   1900.509      -229672.38      0             -213950.38      77090.339      1362504.3    
     17500   1921.4199     -229664.58      0             -213769.59      77063.545      1362689.4    
     18000   1922.2164     -229570.34      0             -213668.77      77546.303      1362880.2    
     18500   1924.78       -229592.53      0             -213669.75      77233.583      1363076.4    
     19000   1917.4896     -229633.81      0             -213771.34      76899.04       1363278.1    
     19500   1910.2222     -229745.57      0             -213943.22      76025.074      1363485.1    
     20000   1886.3996     -229740.4       0             -214135.12      76107.541      1363697.1    
     20500   1881.2381     -229859.22      0             -214296.64      75462.401      1363914      
     21000   1877.2722     -229919.66      0             -214389.88      74979.477      1364135.7    
     21500   1873.6828     -229895.34      0             -214395.26      74941.992      1364361.9    
     22000   1881.9536     -229879.75      0             -214311.25      75107.099      1364592.5    
     22500   1882.9991     -229741.26      0             -214164.12      75462.999      1364827.3    
     23000   1904.5051     -229749.52      0             -213994.46      75509.815      1365066.2    
     23500   1907.7463     -229632.37      0             -213850.5       75852.735      1365308.9    
     24000   1914.9867     -229607.25      0             -213765.48      76184.233      1365555.3    
     24500   1917.7811     -229625.16      0             -213760.28      76018.672      1365805.2    
     25000   1918.1041     -229703.17      0             -213835.62      75564.153      1366058.4    
     25500   1911.0406     -229778.99      0             -213969.87      74820.299      1366314.7    
     26000   1900.6478     -229846.81      0             -214123.66      74496.494      1366573.7    
     26500   1888.541      -229880.11      0             -214257.12      74148.191      1366835.3    
     27000   1884.235      -229924.78      0             -214337.41      73805.395      1367099.1    
     27500   1876.6822     -229873.11      0             -214348.21      73981.228      1367364.9    
     28000   1878.7587     -229827.81      0             -214285.74      73997.211      1367632.5    
     28500   1895.0339     -229845.52      0             -214168.82      74025.995      1367901.5    
     29000   1891.117      -229675.02      0             -214030.72      74670.112      1368171.9    
     29500   1911.0019     -229717.08      0             -213908.28      74400.697      1368443.4    
     30000   1913.5924     -229662.14      0             -213831.91      74267.686      1368715.7    
     30500   1911.5046     -229634.36      0             -213821.4       74381.104      1368988.8    
     31000   1920.4443     -229766.38      0             -213879.47      73757.4        1369262.2    
     31500   1908.3863     -229776.14      0             -213988.98      73693.896      1369535.9    
     32000   1896.6546     -229808.4       0             -214118.29      73209.669      1369809.5    
     32500   1889.0957     -229862.63      0             -214235.05      72802.62       1370082.9    
     33000   1883.8442     -229893.03      0             -214308.89      72412.942      1370355.8    
     33500   1880.8311     -229881.56      0             -214322.35      72636.707      1370628.1    
     34000   1885.285      -229866.92      0             -214270.86      72524.89       1370899.5    
     34500   1895.4456     -229848.6       0             -214168.49      72367.381      1371170      
     35000   1913.0242     -229870.29      0             -214044.76      72475.055      1371439.4    
     35500   1908.2694     -229720.54      0             -213934.35      72781.363      1371707.6    
     36000   1909.8658     -229664.16      0             -213864.76      73009.301      1371974.5    
     36500   1917.509      -229715.09      0             -213852.46      72571.231      1372240      
     37000   1909.2248     -229695.77      0             -213901.67      72694.09       1372504      
     37500   1911.5186     -229812.44      0             -213999.36      72076.857      1372766.6    
     38000   1896.997      -229810.03      0             -214117.08      72164.607      1373027.5    
     38500   1893.7011     -229889.79      0             -214224.11      71513.161      1373286.7    
     39000   1887.7198     -229909.19      0             -214292.99      71570.445      1373544.1    
     39500   1880.1804     -229861.16      0             -214307.33      71288.369      1373799.8    
     40000   1889.2562     -229892.31      0             -214263.4       71072.219      1374053.6    
     40500   1890.5524     -229813.33      0             -214173.7       71421.977      1374305.7    
     41000   1907.5686     -229843.13      0             -214062.73      71318.796      1374556.1    
     41500   1902.6121     -229700.55      0             -213961.15      71800.148      1374804.7    
     42000   1904.2648     -229648.24      0             -213895.17      71767.106      1375051.7    
     42500   1907.8469     -229663.87      0             -213881.17      71686.813      1375297      
     43000   1912.0497     -229740.66      0             -213923.19      71327.781      1375540.8    
     43500   1903.1994     -229754.61      0             -214010.35      70970.326      1375783.2    
     44000   1899.7626     -229833.38      0             -214117.56      70429.665      1376024      
     44500   1890.5911     -229855.59      0             -214215.64      70223.16       1376263.4    
     45000   1886.7572     -229886.6       0             -214278.37      70285.267      1376501.5    
     45500   1884.3544     -229879.82      0             -214291.46      70043.76       1376738.3    
     46000   1888.281      -229872.55      0             -214251.71      70146.585      1376973.9    
     46500   1890.7708     -229812.1       0             -214170.66      70116.448      1377208.3    
     47000   1900.6913     -229794.06      0             -214070.55      70085.672      1377441.7    
     47500   1910.8357     -229785.6       0             -213978.17      70313.513      1377674.1    
     48000   1907.8936     -229702.01      0             -213918.92      70565.067      1377905.8    
     48500   1920.0831     -229792.37      0             -213908.45      70102.564      1378136.7    
     49000   1911.4533     -229761.31      0             -213948.77      70197.106      1378367      
     49500   1908.9415     -229820.5       0             -214028.75      69686.311      1378596.6    
     50000   1899.1016     -229836.94      0             -214126.59      69594.065      1378825.8    
     50500   1891.6513     -229864.5       0             -214215.78      69360.669      1379054.5    
     51000   1888.1546     -229893.45      0             -214273.65      69038.554      1379282.8    
     51500   1884.0586     -229870.39      0             -214284.48      69133.913      1379510.8    
     52000   1894          -229914.65      0             -214246.49      68852.154      1379738.5    
     52500   1895.377      -229851.53      0             -214171.99      68979.218      1379966      
     53000   1903.9355     -229828.84      0             -214078.5       69017.487      1380193.4    
     53500   1907.294      -229769.61      0             -213991.49      69219.275      1380420.8    
     54000   1910.9771     -229742.62      0             -213934.02      69039.243      1380648.1    
     54500   1916.7316     -229777.28      0             -213921.08      68990.576      1380875.6    
     55000   1911.7314     -229771.65      0             -213956.81      69064.11       1381103.2    
     55500   1899.2536     -229742.75      0             -214031.13      68899.191      1381331      
     56000   1893.6812     -229789.32      0             -214123.8       68649.453      1381559.1    
     56500   1893.3049     -229871.77      0             -214209.37      67894.33       1381787.3    
     57000   1891.097      -229908.92      0             -214264.79      67913.362      1382015.8    
     57500   1890.4666     -229915.34      0             -214276.42      67718.267      1382244.5    
     58000   1893.5228     -229905.55      0             -214241.34      67646.159      1382473.5    
     58500   1893.8529     -229837.07      0             -214170.13      68016.305      1382702.8    
     59000   1896.0369     -229766.57      0             -214081.57      68002.165      1382932.4    
     59500   1901.1259     -229727.76      0             -214000.66      68175.728      1383162.4    
     60000   1911.9832     -229764.17      0             -213947.25      67974.523      1383392.7    
     60500   1917.8722     -229801.88      0             -213936.25      67811.43       1383623.5    
     61000   1902.6574     -229709.86      0             -213970.09      68153.935      1383854.6    
     61500   1903.4087     -229784.3       0             -214038.32      67732.557      1384086.2    
     62000   1896.3015     -229809.54      0             -214122.35      67482.463      1384318.1    
     62500   1900.4195     -229920.31      0             -214199.05      66860.296      1384550.4    
     63000   1889.581      -229880.58      0             -214248.98      66921.969      1384783      
     63500   1885.0446     -229854.95      0             -214260.88      66670.198      1385015.8    
     64000   1892.6848     -229888.34      0             -214231.07      66459.252      1385249      
     64500   1897.5854     -229864.99      0             -214167.18      66649.41       1385482.4    
     65000   1902.6451     -229826.37      0             -214086.7       66791.213      1385716.1    
     65500   1911.4561     -229824.44      0             -214011.88      66929.492      1385950      
     66000   1907.4465     -229740.34      0             -213960.95      66967.933      1386184.2    
     66500   1904.7964     -229704.35      0             -213946.88      67242.984      1386418.6    
     67000   1909.8377     -229773.37      0             -213974.2       66599.2        1386653.2    
     67500   1904.0802     -229787.97      0             -214036.43      66646.501      1386887.9    
     68000   1902.649      -229856.49      0             -214116.79      66172.882      1387122.8    
     68500   1887.0747     -229803.21      0             -214192.34      65918.297      1387357.7    
     69000   1894.2028     -229911.53      0             -214241.7       65657.528      1387592.7    
     69500   1893.0006     -229915.25      0             -214255.37      65486.399      1387827.6    
     70000   1889.5218     -229858.44      0             -214227.34      65570.768      1388062.5    
     70500   1898.9117     -229874.08      0             -214165.29      65689.767      1388297.3    
     71000   1903.8907     -229835.61      0             -214085.63      65799.45       1388532      
     71500   1903.3508     -229755.39      0             -214009.88      66186.664      1388766.6    
     72000   1901.9706     -229692.56      0             -213958.46      66147.689      1389001      
     72500   1913.1455     -229770.15      0             -213943.61      65655.172      1389235.3    
     73000   1910.0414     -229771.77      0             -213970.91      65807.494      1389469.3    
     73500   1898.7976     -229739.77      0             -214031.93      65438.421      1389703.1    
     74000   1897.1614     -229805.56      0             -214111.26      65282.298      1389936.6    
     74500   1894.7094     -229859.44      0             -214185.41      65035.01       1390169.8    
     75000   1887.7794     -229850.99      0             -214234.3       64970.904      1390402.6    
     75500   1886.9696     -229856.48      0             -214246.48      64864.309      1390634.9    
     76000   1895.7518     -229900.34      0             -214217.7       64511.817      1390866.8    
     76500   1895.9347     -229841.97      0             -214157.81      64809.046      1391098.2    
     77000   1897.1161     -229774.76      0             -214080.83      64854.797      1391329.1    
     77500   1907.0524     -229784.9       0             -214008.77      64650.49       1391559.5    
     78000   1904.2494     -229712.62      0             -213959.67      65083.006      1391789.3    
     78500   1907.8911     -229728.45      0             -213945.38      64518.501      1392018.7    
     79000   1910.2381     -229773.5       0             -213971.02      64587.704      1392247.4    
     79500   1902.8411     -229770.49      0             -214029.2       64297.193      1392475.5    
     80000   1895.0044     -229780         0             -214103.54      64388.667      1392703.1    
     80500   1895.319      -229853.58      0             -214174.51      63915.923      1392929.9    
     81000   1889.5083     -229855.31      0             -214224.32      63742.929      1393156.1    
     81500   1889.547      -229870.93      0             -214239.62      63415.364      1393381.6    
     82000   1892.1599     -229868.93      0             -214216         63557.436      1393606.3    
