LAMMPS (23 Jun 2022 - Update 4)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 5 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.003 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:471)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:471)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:471)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 8 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 8.384 | 9.056 | 9.533 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   1300          -243821.04      0             -233066.76      8135.7685      1359662.5    
       500   665.22555     -238357.27      0             -232854.18      31002.475      1359664.3    
      1000   707.86712     -238395.36      0             -232539.51      31381.087      1359669.9    
      1500   723.58971     -238163.38      0             -232177.47      32548.603      1359679.3    
      2000   749.27562     -237979.44      0             -231781.04      33711.593      1359692.6    
      2500   779.24727     -237802.64      0             -231356.3       34677.123      1359710      
      3000   807.54067     -237587.06      0             -230906.67      35932.119      1359731.5    
      3500   832.79462     -237325.37      0             -230436.06      37163.91       1359757.4    
      4000   868.02095     -237127.44      0             -229946.72      38434.298      1359787.8    
      4500   896.76208     -236860.01      0             -229441.53      39609.849      1359822.9    
      5000   927.52963     -236595.99      0             -228922.99      41066.96       1359862.7    
      5500   966.9677      -236393.55      0             -228394.29      42273.723      1359907.5    
      6000   994.29602     -236083.89      0             -227858.56      43923.355      1359957.4    
      6500   1033.9484     -235873.03      0             -227319.67      45128.398      1360012.6    
      7000   1068.4142     -235620.1       0             -226781.62      46371.021      1360073.2    
      7500   1102.5611     -235369.64      0             -226248.68      47828.382      1360139.4    
      8000   1137.5934     -235136.82      0             -225726.06      49178.582      1360211.3    
      8500   1170.346      -234901.32      0             -225219.61      50385.289      1360289.2    
      9000   1200.549      -234667.09      0             -224735.53      51529.072      1360373.1    
      9500   1231.6137     -234469.38      0             -224280.83      52577.727      1360463.2    
     10000   1255.0474     -234247.17      0             -223864.76      53586.354      1360559.6    
     10500   1285.6097     -234131.88      0             -223496.65      54333.928      1360662.4    
     11000   1302.354      -233962.79      0             -223189.04      55081.94       1360771.8    
     11500   1319.8875     -233874.68      0             -222955.88      55457.217      1360887.6    
     12000   1326.6073     -233790.21      0             -222815.83      55900.607      1361010.1    
     12500   1327.6568     -233769.56      0             -222786.49      55932.017      1361139.3    
     13000   1317.246      -233769.31      0             -222872.37      55873.592      1361275      
     13500   1309.0315     -233870.38      0             -223041.39      55164.774      1361417.2    
     14000   1298.2478     -233975.96      0             -223236.18      54641.468      1361565.8    
     14500   1285.0355     -234036.12      0             -223405.64      54290.684      1361720.8    
     15000   1277.1907     -234081.71      0             -223516.12      54044.652      1361881.9    
     15500   1276.217      -234105.54      0             -223548.01      53623.456      1362049.2    
     16000   1284.8331     -234123.85      0             -223495.04      53609.37       1362222.5    
     16500   1290.1686     -234047.84      0             -223374.9       54053.128      1362401.7    
     17000   1295.3907     -233940.33      0             -223224.18      54500.452      1362586.8    
     17500   1309.9754     -233920.71      0             -223083.91      54502.061      1362777.7    
     18000   1315.131      -233865.24      0             -222985.79      54739.844      1362974.4    
     18500   1315.7004     -233835.73      0             -222951.57      54553.336      1363176.7    
     19000   1315.4791     -233871.38      0             -222989.05      54548.108      1363384.6    
     19500   1307.2151     -233902.29      0             -223088.33      54133.077      1363597.9    
     20000   1297.9612     -233955.37      0             -223217.96      53865.8        1363816.4    
     20500   1287.3308     -233991.06      0             -223341.59      53490.338      1364039.8    
     21000   1282.0729     -234036.07      0             -223430.1       53064.481      1364268.1    
     21500   1283.013      -234077.99      0             -223464.24      52905.154      1364501      
     22000   1289.6696     -234104.75      0             -223435.93      52716.469      1364738.3    
     22500   1293.102      -234050.85      0             -223353.64      52857.49       1364979.8    
     23000   1300.6056     -234001.4       0             -223242.11      53139.742      1365225.3    
     23500   1301.8668     -233901.77      0             -223132.05      53184.535      1365474.6    
     24000   1314.981      -233929.61      0             -223051.4       53073.542      1365727.5    
     24500   1314.5324     -233893.64      0             -223019.15      53224.655      1365983.9    
     25000   1308.5816     -233868.24      0             -223042.97      53337.119      1366243.5    
     25500   1306.5843     -233924.54      0             -223115.79      52806.44       1366506.1    
     26000   1303.6243     -234000.85      0             -223216.59      52426.901      1366771.3    
     26500   1296.4042     -234041.44      0             -223316.91      52052.943      1367038.9    
     27000   1286.5075     -234035.42      0             -223392.76      52055.804      1367308.6    
     27500   1291.2041     -234106.67      0             -223425.16      51512.431      1367580.1    
     28000   1287.1307     -234055.31      0             -223407.5       51558.555      1367853.1    
     28500   1289.9681     -234015.31      0             -223344.02      51609.896      1368127.5    
     29000   1298.0001     -233991.32      0             -223253.59      51644.83       1368403      
     29500   1307.4306     -233976.73      0             -223160.99      51768.198      1368679.3    
     30000   1317.587      -233989.76      0             -223089.99      51595.095      1368956.2    
     30500   1308.195      -233880.26      0             -223058.19      51831.911      1369233.5    
     31000   1313.1376     -233935.66      0             -223072.7       51589.377      1369511      
     31500   1304.2509     -233918.31      0             -223128.87      51433.191      1369788.5    
     32000   1297.8291     -233948.54      0             -223212.23      51174.271      1370065.7    
     32500   1293.2223     -233998.28      0             -223300.07      50942.141      1370342.5    
     33000   1288.8801     -234030.89      0             -223368.6       50491.659      1370618.5    
     33500   1283.5879     -234020.2       0             -223401.7       50520.726      1370893.6    
     34000   1288.558      -234049.88      0             -223390.26      50449.919      1371167.6    
     34500   1292.4955     -234030.42      0             -223338.23      50313.286      1371440.4    
     35000   1296.1192     -233983.17      0             -223261         50259.063      1371711.8    
     35500   1301.1942     -233942.9       0             -223178.74      50562.359      1371981.8    
     36000   1310.0692     -233951.21      0             -223113.64      50315.264      1372250.3    
