LAMMPS (2 Aug 2023)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 2 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.003 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:474)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:474)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:474)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 8 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 16.41 | 16.41 | 16.41 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   1500          -243821.04      0             -231412.26      9435.5064      1359662.5    
       500   772.03161     -237554.41      0             -231167.76      35438.242      1359664.3    
      1000   819.49395     -237583.44      0             -230804.16      35971.67       1359669.8    
      1500   835.37398     -237296.79      0             -230386.14      37401.986      1359679.1    
      2000   867.02714     -237100.79      0             -229928.29      38595.653      1359692.3    
      2500   900.31755     -236885.67      0             -229437.77      39664.991      1359709.6    
      3000   934.56663     -236650.02      0             -228918.8       41057.957      1359731      
      3500   965.88607     -236365.78      0             -228375.47      42474.171      1359756.6    
      4000   1003.3991     -236111.35      0             -227810.71      43922.338      1359786.8    
      4500   1042.615      -235852.82      0             -227227.76      45358.528      1359821.5    
      5000   1079.982      -235563.94      0             -226629.77      46933.065      1359861      
      5500   1118.1802     -235270.58      0             -226020.42      48339.521      1359905.4    
      6000   1161.175      -235009.24      0             -225403.4       49933.803      1359954.9    
      6500   1199.3596     -234704.44      0             -224782.71      51469.039      1360009.5    
      7000   1236.0055     -234388.73      0             -224163.85      53124.44       1360069.6    
      7500   1276.2438     -234109.17      0             -223551.42      54677.188      1360135.2    
      8000   1319.3683     -233865.96      0             -222951.46      55990.361      1360206.5    
      8500   1352.2517     -233557.47      0             -222370.95      57433.197      1360283.7    
      9000   1396.655      -233371.33      0             -221817.47      58631.036      1360366.8    
      9500   1422.5732     -233067.59      0             -221299.33      60280.646      1360456.1    
     10000   1456.9569     -232878.97      0             -220826.26      60917.8        1360551.6    
     10500   1474.2197     -232606.38      0             -220410.87      62269.281      1360653.4    
     11000   1505.0873     -232518.88      0             -220068.02      62992.289      1360761.7    
     11500   1523.4014     -232415.91      0             -219813.54      63308.548      1360876.4    
     12000   1532.8685     -232350.26      0             -219669.58      63730.156      1360997.7    
     12500   1530.0341     -232313.71      0             -219656.47      63810.52       1361125.6    
     13000   1521.0157     -232356.41      0             -219773.77      63369.046      1361259.9    
     13500   1512.8336     -232492.72      0             -219977.77      62622.323      1361400.6    
     14000   1496.2862     -232578.04      0             -220199.98      62242.97       1361547.7    
     14500   1485.0535     -232669.52      0             -220384.38      61725.051      1361701      
     15000   1479.9228     -232738.86      0             -220496.17      61385.198      1361860.5    
     15500   1478.2313     -232744.39      0             -220515.69      61017.187      1362025.9    
     16000   1480.4926     -232687.25      0             -220439.85      61316.463      1362197.3    
     16500   1490.5141     -232623.69      0             -220293.39      61553.924      1362374.6    
     17000   1503.8798     -232561.76      0             -220120.89      61953.128      1362557.8    
     17500   1511.0204     -232468.53      0             -219968.58      62361.568      1362746.7    
     18000   1517.204      -232422.19      0             -219871.09      62329.96       1362941.3    
     18500   1516.2981     -232393.29      0             -219849.69      62362.162      1363141.5    
     19000   1517.7898     -232463.8       0             -219907.86      62071.42       1363347.2    
     19500   1507.1306     -232497.04      0             -220029.27      61598.08       1363558.3    
     20000   1498.0537     -232571.31      0             -220178.63      61391.166      1363774.6    
     20500   1485.7565     -232604.4       0             -220313.45      60936.109      1363995.8    
     21000   1481.7901     -232661.54      0             -220403.4       60502.286      1364221.8    
     21500   1473.8957     -232620.36      0             -220427.53      60560.598      1364452.4    
     22000   1487.8462     -232688.04      0             -220379.8       60285.969      1364687.4    
     22500   1491.3829     -232612.35      0             -220274.86      60655.932      1364926.5    
     23000   1495.4643     -232515.68      0             -220144.42      60908.229      1365169.8    
     23500   1517.2541     -232574         0             -220022.49      60721.513      1365416.8    
     24000   1514.428      -232468.78      0             -219940.64      61148.193      1365667.6    
     24500   1515.4988     -232455.5       0             -219918.5       61023.296      1365921.8    
     25000   1510.8693     -232459.45      0             -219960.75      60792.863      1366179.3    
     25500   1507.8841     -232529.61      0             -220055.61      60491.979      1366439.7    
     26000   1503.3578     -232611.18      0             -220174.62      59880.791      1366702.8    
     26500   1495.0648     -232654.8       0             -220286.84      59563.228      1366968.4    
     27000   1490.7402     -232695.98      0             -220363.81      59363.509      1367236.2    
     27500   1479.8352     -232630.22      0             -220388.26      59342.057      1367505.8    
     28000   1490.7153     -232685.51      0             -220353.54      58947.562      1367777.1    
     28500   1494.1755     -232629.96      0             -220269.36      59210.114      1368049.8    
     29000   1500.4396     -232572.22      0             -220159.81      59238.025      1368323.6    
     29500   1504.1567     -232498.3       0             -220055.14      59724.612      1368598.3    
     30000   1516.4153     -232525.89      0             -219981.32      59254.534      1368873.8    
     30500   1512.0608     -232465.39      0             -219956.84      59489.298      1369149.8    
     31000   1513.9892     -232512.48      0             -219987.97      59193.506      1369426.1    
     31500   1510.6777     -232563.68      0             -220066.57      58837.336      1369702.4    
     32000   1498.045      -232563.2       0             -220170.59      58648.099      1369978.5    
     32500   1490.1648     -232599.75      0             -220272.33      58562.081      1370254.2    
     33000   1492.5217     -232692.02      0             -220345.1       57779.071      1370529.4    
     33500   1490.0778     -232697.36      0             -220370.66      57646.426      1370803.6    
     34000   1489.3488     -232664.07      0             -220343.4       57598.474      1371077      
     34500   1490.9858     -232605.86      0             -220271.65      57957.363      1371349.1    
     35000   1491.8775     -232516.24      0             -220174.65      58243.858      1371620.1    
     35500   1507.8823     -232552.71      0             -220078.72      58052.909      1371889.6    
     36000   1506.8144     -232473.85      0             -220008.7       58077.672      1372157.8    
     36500   1511.6352     -232487.86      0             -219982.83      58130.615      1372424.4    
     37000   1518.2353     -232566.35      0             -220006.72      57675.989      1372689.4    
