LAMMPS (2 Aug 2023)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 2 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.003 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:474)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:474)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:474)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 8 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 16.41 | 16.41 | 16.41 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   2500          -243821.04      0             -223139.74      15934.196      1359662.5    
       500   1318.0931     -233638.7       0             -222734.75      56978.227      1359664.3    
      1000   1375.9581     -233508.76      0             -222126.11      58024.056      1359669.6    
      1500   1411.0096     -233099.76      0             -221427.15      60162.21       1359678.6    
      2000   1469.4877     -232817.84      0             -220661.48      61780.726      1359691.3    
      2500   1519.7272     -232413.54      0             -219841.57      63802.164      1359707.9    
      3000   1581.7796     -232060.27      0             -218974.96      65637.494      1359728.6    
      3500   1630.1362     -231553.63      0             -218068.29      68412.293      1359753.4    
      4000   1698.6928     -231179.46      0             -217126.99      70563.46       1359782.4    
      4500   1753.908      -230665.48      0             -216156.24      72908.034      1359815.9    
      5000   1824.5603     -230256.2       0             -215162.48      75138.184      1359853.9    
      5500   1897.9272     -229851.95      0             -214151.31      77016.397      1359896.7    
      6000   1962.2466     -229362.76      0             -213130.03      80053.411      1359944.3    
      6500   2039.1562     -228974.85      0             -212105.89      81733.022      1359996.9    
      7000   2091.77       -228391.94      0             -211087.73      84631.801      1360054.7    
      7500   2161.0512     -227961.93      0             -210084.59      86869.001      1360117.8    
      8000   2221.0646     -227481.01      0             -209107.21      89082.015      1360186.3    
      8500   2294.4183     -227147.48      0             -208166.86      91022.507      1360260.4    
      9000   2340.7349     -226641.94      0             -207278.17      93578.042      1360340.3    
      9500   2400.8929     -226317.84      0             -206456.41      94908.34       1360425.9    
     10000   2448.5605     -225975.25      0             -205719.48      96600.934      1360517.5    
     10500   2482.4982     -225625.59      0             -205089.07      98235.991      1360615.1    
     11000   2529.4483     -225517.93      0             -204593.02      99173.384      1360718.9    
     11500   2542.7149     -225298.72      0             -204264.06      99736.563      1360828.8    
     12000   2554.0402     -225266.99      0             -204138.64      99899.932      1360944.8    
     12500   2547.4554     -225312.75      0             -204238.88      99752.834      1361067      
     13000   2536.992      -225512.39      0             -204525.07      98731.772      1361195.4    
     13500   2499.2777     -225569.42      0             -204894.09      98216.285      1361329.8    
     14000   2483.7771     -225783.59      0             -205236.5       97324.647      1361470.1    
     14500   2471.9718     -225928.13      0             -205478.69      96574.756      1361616.4    
     15000   2450.9067     -225852.97      0             -205577.8       96574.73       1361768.4    
     15500   2456.0929     -225831.94      0             -205513.87      96821.786      1361926.2    
     16000   2466.805      -225714.36      0             -205307.67      97296.805      1362089.6    
     16500   2497.3448     -225683.94      0             -205024.61      97371.233      1362258.6    
     17000   2512.296      -225531         0             -204747.98      98084.947      1362433.3    
     17500   2516.8287     -225363.59      0             -204543.07      98510.087      1362613.4    
     18000   2539.4964     -225464.21      0             -204456.17      98343.518      1362799.1    
     18500   2538.715      -225508.4       0             -204506.83      98172.806      1362990.2    
     19000   2517.1051     -225504.52      0             -204681.72      97891.055      1363186.5    
     19500   2517.0205     -225746.5       0             -204924.4       96925.724      1363388      
     20000   2486.2934     -225735.7       0             -205167.78      96765.303      1363594.5    
     20500   2479.1051     -225859.67      0             -205351.22      96012.861      1363805.8    
     21000   2468.8932     -225857.6       0             -205433.63      95754.273      1364021.8    
     21500   2467.6596     -225807.92      0             -205394.16      96178.234      1364242.2    
     22000   2487.9157     -225828.67      0             -205247.34      95412.051      1364467      
     22500   2502.1966     -225736.09      0             -205036.62      96025.213      1364696      
     23000   2504.8016     -225540.36      0             -204819.33      96931.253      1364929      
     23500   2527.9998     -225567.37      0             -204654.45      96996.73       1365166      
     24000   2521.7239     -225443.07      0             -204582.06      97145.397      1365406.6    
     24500   2527.6284     -225530.19      0             -204620.34      96875.799      1365650.8    
     25000   2507.5554     -225504.17      0             -204760.36      96661.635      1365898.3    
     25500   2506.1435     -225689.75      0             -204957.62      95881.785      1366148.9    
     26000   2489.9862     -225753.86      0             -205155.4       95163.916      1366402.3    
     26500   2474.0159     -225770.38      0             -205304.03      95274.322      1366658.3    
     27000   2478.2846     -225872.65      0             -205370.99      94851.809      1366916.7    
     27500   2470.8608     -225779.25      0             -205339         94744.355      1367177.2    
     28000   2492.0602     -225833.36      0             -205217.75      94322.037      1367439.6    
     28500   2502.549      -225743.99      0             -205041.6       94603.776      1367703.7    
     29000   2502.1849     -225562.58      0             -204863.2       95861.918      1367969.2    
     29500   2520.6969     -225578.77      0             -204726.25      95767.751      1368236      
     30000   2527.087      -225571.67      0             -204666.29      95650.284      1368503.8    
     30500   2518.7206     -225535         0             -204698.84      95447.034      1368772.5    
     31000   2510.2064     -225579.29      0             -204813.56      94915.521      1369041.9    
     31500   2493.9722     -225609.5       0             -204978.07      94757.48       1369311.6    
     32000   2487.3322     -225723.56      0             -205147.05      93917.826      1369581.4    
     32500   2484.5771     -225829.35      0             -205275.64      93704.574      1369851.2    
     33000   2480.4829     -225853.86      0             -205334.02      93537.762      1370120.8    
     33500   2472.5767     -225761.82      0             -205307.38      93710.567      1370389.9    
     34000   2488.4069     -225787.88      0             -205202.48      93561.061      1370658.3    
     34500   2504.369      -225769.13      0             -205051.69      93567.025      1370926      
     35000   2504.2702     -225611.66      0             -204895.04      93751.903      1371192.8    
     35500   2510.4152     -225543.1       0             -204775.64      94442.787      1371458.6    
     36000   2514.6131     -225527.62      0             -204725.43      94223.068      1371723.3    
     36500   2513.4722     -225547.7       0             -204754.95      94134.124      1371986.8    
     37000   2522.458      -225724.4       0             -204857.31      93221.582      1372249      
     37500   2504.3209     -225721.73      0             -205004.68      93042.46       1372509.7    
     38000   2496.2206     -225806.21      0             -205156.18      92520.653      1372769      
     38500   2482.3562     -225806.89      0             -205271.55      92260.181      1373026.6    
     39000   2489.9176     -225921.47      0             -205323.58      91772.077      1373282.7    
     39500   2486.5964     -225868.18      0             -205297.76      91841.092      1373537      
     40000   2486.0655     -225768.26      0             -205202.23      92122.723      1373789.6    
     40500   2493.3993     -225690.17      0             -205063.47      92286.511      1374040.6    
     41000   2504.6791     -225638.36      0             -204918.35      92626.566      1374289.8    
     41500   2518.7681     -225643.8       0             -204807.24      92608.136      1374537.5    
     42000   2514.8215     -225562.54      0             -204758.63      92489.44       1374783.5    
     42500   2524.1163     -225666.98      0             -204786.17      92365.057      1375027.9    
     43000   2508.4174     -225633.85      0             -204882.92      92340.551      1375270.8    
     43500   2494.8759     -225659         0             -205020.09      92027.83       1375512.3    
     44000   2487.2034     -225735.87      0             -205160.43      91667.367      1375752.2    
     44500   2478.4663     -225771.4       0             -205268.24      91002.725      1375990.7    
     45000   2489.9728     -225914.53      0             -205316.18      90826.803      1376227.9    
     45500   2484.3578     -225844.71      0             -205292.81      90808.094      1376463.7    
     46000   2489.7921     -225801.61      0             -205204.76      90931.929      1376698.3    
     46500   2496.9027     -225732.1       0             -205076.42      91216.104      1376931.7    
     47000   2512.0457     -225722.35      0             -204941.41      91202.193      1377164      
     47500   2513.2513     -225628.89      0             -204837.96      91373.339      1377395.4    
     48000   2518.2167     -225624.83      0             -204792.83      91041.327      1377626      
     48500   2507.8295     -225565.22      0             -204819.15      91615.067      1377855.7    
     49000   2515.8367     -225720.05      0             -204907.74      90634.184      1378084.8    
     49500   2493.8034     -225664.39      0             -205034.35      90973.452      1378313.2    
     50000   2499.0936     -225837.14      0             -205163.34      90134.329      1378541      
     50500   2474.5324     -225731.65      0             -205261.03      90106.386      1378768.4    
     51000   2492.0444     -225918.53      0             -205303.04      89095.068      1378995.2    
     51500   2490.7915     -225883.75      0             -205278.63      89525.262      1379221.7    
     52000   2492.2916     -225811.86      0             -205194.33      89782.686      1379447.8    
     52500   2494.0776     -225707.25      0             -205074.94      90115.691      1379673.8    
     53000   2505.9632     -225683.23      0             -204952.6       90089.881      1379899.5    
     53500   2505.715      -225590.77      0             -204862.19      90430.138      1380125.2    
     54000   2513.9811     -225623.2       0             -204826.24      90282.862      1380350.9    
     54500   2518.3384     -225687.17      0             -204854.17      90054.141      1380576.7    
     55000   2515.2009     -225745.8       0             -204938.75      89681.282      1380802.5    
     55500   2503.5919     -225768.03      0             -205057.01      89211.659      1381028.5    
     56000   2488.6246     -225762.16      0             -205174.96      88998.276      1381254.7    
     56500   2480.4289     -225781.95      0             -205262.56      88862.91       1381481      
     57000   2482.4513     -225834.57      0             -205298.44      88724.256      1381707.6    
     57500   2485.8793     -225837.68      0             -205273.19      88518.392      1381934.4    
     58000   2488.141      -225776.23      0             -205193.03      88735.672      1382161.4    
     58500   2495.4785     -225723.34      0             -205079.44      89080.482      1382388.8    
     59000   2514.2417     -225765.11      0             -204966         88640.649      1382616.5    
     59500   2512.3482     -225667.19      0             -204883.74      89407.13       1382844.6    
     60000   2511.7403     -225630.84      0             -204852.42      88917.029      1383073.1    
     60500   2517.2656     -225705.78      0             -204881.65      88873.708      1383302      
     61000   2496.2004     -225611.77      0             -204961.91      88889.931      1383531.4    
     61500   2503.9591     -225785.06      0             -205071         88451.094      1383761.1    
     62000   2496.8841     -225836.32      0             -205180.79      88091.784      1383991.2    
     62500   2488.4015     -225846.9       0             -205261.55      87746.178      1384221.8    
     63000   2488.9736     -225881.77      0             -205291.68      87250.183      1384452.6    
     63500   2486.8304     -225836.91      0             -205264.55      87315.608      1384683.8    
     64000   2495.0024     -225825.99      0             -205186.03      87444.489      1384915.4    
     64500   2494.0178     -225710.13      0             -205078.31      87811.829      1385147.3    
     65000   2502.6256     -225673.71      0             -204970.69      87901.359      1385379.5    
     65500   2506.3415     -225625.67      0             -204891.91      88057.514      1385612      
     66000   2508.5356     -225617.7       0             -204865.79      88119.894      1385844.9    
     66500   2517.4939     -225721.52      0             -204895.51      87781.426      1386078      
     67000   2497.055      -225631.97      0             -204975.03      87451.349      1386311.4    
     67500   2497.74       -225743.08      0             -205080.47      87220.644      1386545.1    
     68000   2501.0363     -225874.24      0             -205184.36      86812.43       1386778.9    
     68500   2497.0204     -225915.09      0             -205258.43      86430.455      1387012.9    
     69000   2484.255      -225835.75      0             -205284.7       86672.121      1387246.9    
     69500   2494.127      -225888.6       0             -205255.89      86064.644      1387481.1    
     70000   2501.6042     -225875.13      0             -205180.56      86026.962      1387715.2    
     70500   2495.2167     -225722.63      0             -205080.9       86905.622      1387949.4    
     71000   2508.5207     -225732.87      0             -204981.08      86715.64       1388183.6    
     71500   2511.5274     -225683.16      0             -204906.5       86600.757      1388417.7    
     72000   2510.499      -225647.84      0             -204879.69      86691.676      1388651.8    
