LAMMPS (2 Aug 2023)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 2 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.004 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:474)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:474)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:466)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:474)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 8 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 16.41 | 16.41 | 16.41 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   2300          -243821.04      0             -224794.24      14634.458      1359662.5    
       500   1205.8363     -234396.74      0             -224421.43      52849.416      1359664.3    
      1000   1263.2381     -234312.01      0             -223861.85      53682.216      1359669.6    
      1500   1295.9904     -233940.32      0             -223219.22      55734.502      1359678.7    
      2000   1349.1956     -233676.5       0             -222515.25      57203.93       1359691.5    
      2500   1391.7493     -233274.54      0             -221761.27      59263.43       1359708.2    
      3000   1447.8204     -232941.47      0             -220964.34      61086.217      1359729      
      3500   1497.0411     -232514.61      0             -220130.3       63324.47       1359753.9    
      4000   1555.7031     -232133.58      0             -219263.99      65132.255      1359783.2    
      4500   1616.8685     -231746.66      0             -218371.08      67395.879      1359816.9    
      5000   1672.5113     -231291.95      0             -217456.07      69828.369      1359855.2    
      5500   1731.4464     -230848.46      0             -216525.03      71992.755      1359898.3    
      6000   1801.5793     -230487.8       0             -215584.2       73971.751      1359946.2    
      6500   1863.6752     -230057.46      0             -214640.17      76097.818      1359999.2    
      7000   1920.4274     -229588.11      0             -213701.33      78693.194      1360057.4    
      7500   1972.952      -229096.77      0             -212775.49      80915.911      1360120.9    
      8000   2045.4804     -228793.76      0             -211872.48      82371.272      1360190      
      8500   2098.3169     -228361.51      0             -211003.14      84773.762      1360264.6    
      9000   2147.4666     -227945.06      0             -210180.1       86837.621      1360345.1    
      9500   2204.5512     -227653.99      0             -209416.8       88188.477      1360431.4    
     10000   2243.573      -227290.88      0             -208730.88      89885.1        1360523.6    
     10500   2287.6869     -227065.8       0             -208140.86      90981.22       1360622      
     11000   2316.0982     -226833.73      0             -207673.76      92355.83       1360726.5    
     11500   2340.0447     -226714.1       0             -207356.03      92922.876      1360837.3    
     12000   2349.7068     -226659.58      0             -207221.58      92976.571      1360954.2    
     12500   2342.8366     -226674.05      0             -207292.88      92765.437      1361077.4    
     13000   2325.6439     -226781.01      0             -207542.08      92088.698      1361206.8    
     13500   2301.1414     -226914.58      0             -207878.34      91636.388      1361342.3    
     14000   2281.5947     -227076.16      0             -208201.62      90902.165      1361483.9    
     14500   2275.101      -227260.64      0             -208439.82      89901.863      1361631.4    
     15000   2264.3056     -227280.16      0             -208548.65      89529.674      1361784.7    
     15500   2262.7904     -227227.59      0             -208508.61      89917.196      1361943.8    
     16000   2274.492      -227149.15      0             -208333.37      90173.807      1362108.6    
     16500   2297.8093     -227086.6       0             -208077.93      90635.469      1362279.1    
     17000   2306.9255     -226903.78      0             -207819.69      91235.328      1362455.2    
     17500   2328.4589     -226882.98      0             -207620.76      91378.858      1362636.9    
     18000   2334.768      -226841.22      0             -207526.81      91443.519      1362824.1    
     18500   2319.1183     -226743.72      0             -207558.77      91505.455      1363016.7    
     19000   2308.947      -226805.77      0             -207704.96      91112.641      1363214.7    
     19500   2296.1585     -226916.88      0             -207921.86      90719.311      1363417.9    
     20000   2299.4297     -227168.15      0             -208146.07      89702.021      1363626.1    
     20500   2281.2933     -227194.35      0             -208322.3       89207.632      1363839.1    
     21000   2268.4737     -227174.14      0             -208408.15      88955.012      1364056.8    
     21500   2278.7584     -227235.54      0             -208384.47      88719.597      1364279      
     22000   2284.5242     -227156.85      0             -208258.08      89124.401      1364505.6    
     22500   2283.6979     -226958.98      0             -208067.04      89882.616      1364736.3    
     23000   2303.8879     -226926.47      0             -207867.51      89864.805      1364971.1    
     23500   2326.6413     -226959.45      0             -207712.27      89674.145      1365209.8    
     24000   2324.6736     -226870.79      0             -207639.88      90131.893      1365452.2    
     24500   2318.9451     -226850.69      0             -207667.17      90146.948      1365698.2    
