LAMMPS (23 Jun 2022 - Update 4)
Lattice spacing in x,y,z = 5.5392 5.5392 5.5392
Created orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  1 by 2 by 5 MPI processor grid
Created 64000 atoms
  using lattice units in orthogonal box = (0 0 0) to (110.784 110.784 110.784)
  create_atoms CPU = 0.002 seconds
32000 atoms in group Ba
32000 atoms in group O
WARNING: 23463 of 50000 force values in table Vash_11 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_11 to re-computed values (../pair_table.cpp:471)
WARNING: 23576 of 50000 force values in table Vash_12 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_12 to re-computed values (../pair_table.cpp:471)
WARNING: 23794 of 50000 force values in table Vash_22 are inconsistent with -dE/dr.
WARNING:  Should only be flagged at inflection points (../pair_table.cpp:463)
WARNING: 43814 of 50000 distance values in table 1e-06 with relative error
WARNING:  over Vash_22 to re-computed values (../pair_table.cpp:471)
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 8 steps, delay 0 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair table, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 8.384 | 9.056 | 9.533 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   700           -243821.04      0             -238030.27      4236.5547      1359662.5    
       500   355.11503     -240850.74      0             -237913.04      17131.021      1359664.4    
      1000   373.49833     -240834.26      0             -237744.49      17460.861      1359670.1    
      1500   389.04735     -240768.38      0             -237549.98      17893.991      1359679.7    
      2000   399.51785     -240642.15      0             -237337.13      18632.048      1359693.4    
      2500   413.15324     -240526.76      0             -237108.94      19191.945      1359711.3    
      3000   428.3072      -240410.66      0             -236867.48      19895.485      1359733.5    
      3500   444.84683     -240294.37      0             -236614.37      20605.496      1359760.1    
      4000   461.53874     -240169.2       0             -236351.11      21234.99       1359791.4    
      4500   478.43819     -240036.95      0             -236079.06      22003.01       1359827.4    
      5000   497.10831     -239911.87      0             -235799.53      22683.595      1359868.4    
      5500   514.25604     -239768.2       0             -235514.01      23525.002      1359914.5    
      6000   529.90016     -239608.01      0             -235224.4       24283.771      1359965.9    
      6500   548.49668     -239469.72      0             -234932.27      25058.844      1360022.7    
      7000   569.68062     -239352.48      0             -234639.79      25741.27       1360085.1    
      7500   586.84719     -239203.87      0             -234349.17      26582.353      1360153.3    
      8000   606.4696      -239079.92      0             -234062.88      27211.403      1360227.5    
      8500   623.86391     -238944.92      0             -233783.99      27864.962      1360307.7    
      9000   640.01027     -238810.02      0             -233515.53      28735.06       1360394.2    
      9500   655.71416     -238685.56      0             -233261.15      29285.38       1360487.1    
     10000   671.18689     -238577.26      0             -233024.85      29877.937      1360586.6    
     10500   684.00244     -238470.3       0             -232811.88      30447.613      1360692.6    
     11000   696.4524      -238388.82      0             -232627.4       30849.512      1360805.5    
     11500   704.19985     -238303.96      0             -232478.46      31129.27       1360925.1    
     12000   708.9805      -238239.17      0             -232374.11      31600.777      1361051.7    
     12500   711.83922     -238213.15      0             -232324.44      31583.91       1361185.1    
     13000   715.1128      -238252.03      0             -232336.25      31381.474      1361325.4    
     13500   709.63719     -238275.68      0             -232405.2       31227.577      1361472.5    
     14000   705.09284     -238339.23      0             -232506.34      30789.259      1361626.4    
     14500   696.60207     -238371.58      0             -232608.92      30582.976      1361786.8    
     15000   692.69208     -238419.91      0             -232689.6       30119.204      1361953.7    
     15500   688.21211     -238427         0             -232733.75      29938.038      1362126.9    
     16000   686.51714     -238412.81      0             -232733.58      30084.581      1362306.4    
     16500   691.6223      -238410.81      0             -232689.35      29861.051      1362491.9    
     17000   697.00569     -238381.17      0             -232615.18      29967.884      1362683.4    
     17500   700.24557     -238325.36      0             -232532.57      30230.473      1362880.8    
     18000   708.85124     -238326.36      0             -232462.37      30127.547      1363084.2    
     18500   706.7621      -238266.44      0             -232419.74      30421.993      1363293.2    
     19000   707.09174     -238263.77      0             -232414.34      30240.169      1363507.9    
     19500   707.95877     -238303.09      0             -232446.49      30013.894      1363728      
     20000   701.05812     -238306.36      0             -232506.84      29759.601      1363953.4    
     20500   696.32319     -238337.87      0             -232577.53      29542.922      1364183.8    
     21000   694.81534     -238388.46      0             -232640.58      29216.524      1364419      
     21500   692.93724     -238413.76      0             -232681.42      28881.726      1364658.7    
     22000   692.70754     -238421.3       0             -232690.87      28733.835      1364902.8    
     22500   694.45038     -238411.86      0             -232667.01      28776.634      1365151      
     23000   697.18591     -238384.28      0             -232616.8       28705.473      1365403      
     23500   697.66479     -238326.07      0             -232554.63      28819.532      1365658.6    
     24000   703.70841     -238317.84      0             -232496.39      28786.7        1365917.7    
     24500   707.81703     -238311.55      0             -232456.12      28730.764      1366179.9    
     25000   706.81889     -238290.23      0             -232443.06      28736.551      1366445.1    
     25500   704.61963     -238289.37      0             -232460.39      28587.397      1366713      
     26000   703.34106     -238321.24      0             -232502.83      28254.982      1366983.3    
     26500   699.21081     -238342.21      0             -232557.97      28147.741      1367255.7    
     27000   698.57504     -238390.53      0             -232611.55      27717.954      1367529.9    
     27500   695.50643     -238403.57      0             -232649.98      27562.517      1367805.5    
     28000   691.89989     -238388.27      0             -232664.52      27500.841      1368082.4    
     28500   695.50181     -238404.78      0             -232651.22      27226.84       1368360.1    
     29000   696.44049     -238375.87      0             -232614.55      27373.779      1368638.5    
     29500   699.37576     -238349.32      0             -232563.72      27304.348      1368917.3    
     30000   699.46941     -238299.12      0             -232512.75      27373.718      1369196.3    
     30500   706.0456      -238314.45      0             -232473.67      27260.77       1369475.3    
     31000   705.15219     -238289.52      0             -232456.14      27283.4        1369754      
     31500   704.51129     -238292.06      0             -232463.98      27052.177      1370032.3    
     32000   702.91323     -238310.1       0             -232495.24      26947.772      1370309.9    
     32500   700.68239     -238337.25      0             -232540.84      26638.082      1370586.6    
     33000   697.59064     -238359         0             -232588.17      26439.962      1370862.1    
     33500   694.6072      -238371.72      0             -232625.57      26084.016      1371136.4    
     34000   695.38035     -238395.91      0             -232643.36      25949.537      1371409.1    
     34500   694.71283     -238384.75      0             -232637.72      25782.104      1371680.3    
     35000   695.93039     -238366.91      0             -232609.81      25801.845      1371949.6    
     35500   694.0584      -238308.65      0             -232567.04      25969.127      1372217.1    
     36000   702.31226     -238330.28      0             -232520.39      25840.756      1372482.7    
     36500   704.78204     -238312.2       0             -232481.88      25811.462      1372746.3    
     37000   704.67514     -238289.91      0             -232460.47      25715.559      1373008      
     37500   703.25215     -238278.89      0             -232461.22      25655.5        1373267.6    
     38000   704.28225     -238309.83      0             -232483.64      25470.675      1373525.1    
     38500   700.06246     -238312.94      0             -232521.66      25381.795      1373780.6    
     39000   700.28972     -238357.86      0             -232564.7       24987.146      1374033.9    
     39500   695.38005     -238354.16      0             -232601.61      24818.331      1374285      
     40000   696.16778     -238382.3       0             -232623.23      24612.917      1374534      
     40500   695.1979      -238375.08      0             -232624.05      24520.359      1374780.9    
     41000   692.91871     -238336.19      0             -232604.01      24546.243      1375025.7    
     41500   698.77598     -238348.59      0             -232567.96      24461.433      1375268.4    
     42000   699.70909     -238313.98      0             -232525.62      24539.122      1375509.2    
     42500   702.02022     -238294.31      0             -232486.83      24583.254      1375748.1    
     43000   707.62902     -238316.03      0             -232462.16      24362.247      1375985.3    
     43500   703.67376     -238277.97      0             -232456.81      24432.075      1376220.7    
     44000   705.05497     -238304.46      0             -232471.88      24111.669      1376454.5    
     44500   699.87433     -238292.67      0             -232502.94      24047.565      1376686.8    
     45000   698.57741     -238320.54      0             -232541.55      23840.615      1376917.6    
     45500   695.4324      -238330.75      0             -232577.77      23711.504      1377147      
     46000   698.42957     -238380.2       0             -232602.42      23317.285      1377375      
     46500   695.07177     -238359.08      0             -232609.09      23367.942      1377601.7    
     47000   694.76318     -238343.39      0             -232595.95      23426.112      1377827.2    
     47500   699.48731     -238352.35      0             -232565.83      23210.794      1378051.6    
     48000   701.3213      -238328.59      0             -232526.89      23179.975      1378275      
     48500   699.61237     -238276.85      0             -232489.29      23349.899      1378497.5    
     49000   702.03764     -238269.56      0             -232461.94      23352.983      1378719.2    
